num,name,direction,url,lecture,relation,health,seven_days,else,definition
8,力量,0,https://i.imgur.com/TsjgWrD.jpg,在課業上代表最近會十分有動力，但也要小心不要操之過急喔,在人際關係中要小心不要過於強勢喔,在健康中代表最近的精力十分旺盛，但不能因為這樣就不保持規律的生活喔,這張牌代表可以去做想做的事情，但要小心不要體力透支喔,這張牌代表可以去做想做的事情，但要小心不要體力透支喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-strength-%E5%8A%9B%E9%87%8F
8,力量,1,https://i.imgur.com/kuApPP6.jpg,在課業上代表最近可能有玩過頭的狀況喔,在人際關係中代表可能因為不經意間流露出強勢的態度而得罪他人喔,在健康中代表可能因為玩瘋了就忘記注意自己的身體狀況喔,這張牌代表最近可能有自信過頭的狀況出現喔,這張牌代表最近可能有自信過頭的狀況出現喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9-strength-%E5%8A%9B%E9%87%8F
9,隱者,0,https://i.imgur.com/AwERDj0.jpg,在課業上代表最近比較適合一個人思考，才會有所收穫喔,在人際關係中代表最近似乎和周圍的人有些距離感呢,在健康中代表目前的身體狀況比較差，要過著稍微節制和規律的生活喔,這張牌代表最近適合過著安靜的生活，自己多檢討，多思考,這張牌代表最近適合過著安靜的生活，自己多檢討，多思考,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E9%9A%B1%E8%80%85-the-hermit
9,隱者,1,https://i.imgur.com/Hnummgr.jpg,在課業上代表最近似乎不太容易集中注意力喔,在人際關係中代表最近可能會因為講話冷冷的，讓人不想和您親近喔,在健康中代表最近因為體力不是很好，不是和大量活動，另外也要小心吃到不新鮮的食物喔,這張牌代表最近容易因為堅持己見，做出錯誤的決定喔,這張牌代表最近容易因為堅持己見，做出錯誤的決定喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E9%9A%B1%E8%80%85-the-hermit
10,命運之輪,0,https://i.imgur.com/rB1SWUL.jpg,在課業上代表最近您似乎被幸運之神眷顧了喔,在人際關係中代表最近運勢蠻不錯的，和人相處也會十分順利,在健康中代表就算身體出現問題，也能圓滿解決,這張牌代表您最近很幸運呢,這張牌代表您最近很幸運呢,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E5%91%BD%E9%81%8B%E4%B9%8B%E8%BC%AA-the-wheel-of-fortune
10,命運之輪,1,https://i.imgur.com/UnLFAwg.jpg,在課業上代表您最近似乎努力錯了方向呢,在人際關係中代表可能因為太跟著感覺走而得罪他人,在健康中代表最近要特別小心關節的問題喔,這張牌代表就算最近運氣不錯，也要能認真掌握才不會浪費,這張牌代表就算最近運氣不錯，也要能認真掌握才不會浪費,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E5%91%BD%E9%81%8B%E4%B9%8B%E8%BC%AA-the-wheel-of-fortune
11,正義,0,https://i.imgur.com/9TipcTZ.jpg,在課業上代表要將專心、體力和努力結合在一起才能有所收穫喔,在人際關係中代表您最近處於一個人見人愛的時期喔,在健康中代表只要在生活中取得平衡，就沒有太大的問題喔,這張牌代表只要保持心情愉悅平順，事情也會很順利喔,這張牌代表只要保持心情愉悅平順，事情也會很順利喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E6%AD%A3%E7%BE%A9-the-justice
11,正義,1,https://i.imgur.com/Y07aRhv.jpg,在課業上代表需要將心境平衡下來，才能有好結果喔,在人際關係中代表最近可會因為失言而得罪朋友喔,在健康中代表要小心發胖的危機喔,這張牌代表最近自己的情緒會有些難掌握，要努力控制自己才不會出事喔,這張牌代表最近自己的情緒會有些難掌握，要努力控制自己才不會出事喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E6%AD%A3%E7%BE%A9-the-justice
12,吊人,0,https://i.imgur.com/txJV4lY.jpg,在課業上代表腦袋和心中想的似乎都是些天馬行空的事，和課業沒什麼關係呢,在人際關係中代表最近和周遭的人保持在一種陌生的客氣的狀態中呢,在健康中代表要保持穩定，才能讓身體保持在一個還算不錯的狀態,這張牌代表最近您十分有靈感，但要把靈感運用在重要的事上才會有所收穫,這張牌代表最近您十分有靈感，但要把靈感運用在重要的事上才會有所收穫,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E5%90%8A%E4%BA%BA-the-hanged-man
12,吊人,1,https://i.imgur.com/yTeDff6.jpg,在課業上代表最近三心二意的，十分不專心,在人際關係中代表最近要時刻提醒自己保持微笑，才不會得罪他人喔,在健康中代表最近要特別小心腳踝喔,這張牌代表最好先將腦袋清空，平靜內心，再去做想做的事情喔,這張牌代表最好先將腦袋清空，平靜內心，再去做想做的事情喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E5%90%8A%E4%BA%BA-the-hanged-man
13,死神,0,https://i.imgur.com/46y6eXE.jpg,在課業上代表您似乎還要再更積極認真一些喔,在人際關係中要小心不要自己孤立自己喔,在健康中代表最近會有些精神不濟，另外最近也不適合減肥,這張牌代表最近似乎有些過於悲觀,這張牌代表最近似乎有些過於悲觀,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E6%AD%BB%E7%A5%9E-death
13,死神,1,https://i.imgur.com/sTktEc8.jpg,在課業上代表似乎有些不專心，不努力，但卻又沒有心思改正,在人際關係中代表最近要小心不要成為他人眼中的麻煩人物,在健康中代表最近適合調整自己的生活習慣,這張牌代表最近得靜下心來，做出改變，才能脫離現在的困境喔,這張牌代表最近得靜下心來，做出改變，才能脫離現在的困境喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E6%AD%BB%E7%A5%9E-death
14,節制,0,https://i.imgur.com/RuK7jK3.jpg,在課業上代表最近運氣不錯，但也不能因為這樣就偷懶喔,在人際關係中代表您最近處於一個人見人愛的時期喔,在健康中代表只要不要太粗心大意，就不會有什麼問題,這張牌代表最近要小心不要放鬆過頭喔,這張牌代表最近要小心不要放鬆過頭喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E7%AF%80%E5%88%B6-temperance
14,節制,1,https://i.imgur.com/EWI51qn.jpg,在課業上代表最近雖然運氣不錯，但卻有些貪玩不專心，應該要好好保握好運氣喔,在人際關係中代表雖然表面和人相處得不錯，但自己內心會覺得似乎少了一股熱情呢,在健康中代表最近盡量不要有過於誇張的行為或動作,這張牌代表最近要小心把事情想得過於簡單,這張牌代表最近要小心把事情想得過於簡單,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E7%AF%80%E5%88%B6-temperance
15,惡魔,0,https://i.imgur.com/iDxfAoD.jpg,在課業上代表最近學業沒什麼問題，但有可能因為這樣過於驕傲呢,在人際關係中代表最近似乎不太信任他人，總是有些過於防備,在健康中代表可能因為情緒不穩造成暴飲暴食的狀況出現,這張牌代表最近行事要量力而為，不要過於貪心喔,這張牌代表最近行事要量力而為，不要過於貪心喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E6%83%A1%E9%AD%94-the-devil
15,惡魔,1,https://i.imgur.com/8sYo9VD.jpg,在課業上代表最近雖然頭腦清晰，但卻不夠認真也不構專心呢,在人際關係中代表最近似乎有些敷衍他人,在健康中代表最近要小心骨骼上的問題喔,這張牌代表最近要小心因為想表現什麼，而用了不好的方式喔,這張牌代表最近要小心因為想表現什麼，而用了不好的方式喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E6%83%A1%E9%AD%94-the-devil
16,高塔,0,https://i.imgur.com/GJzcnDj.jpg,在課業上代表要小心過於樂觀的判斷喔,在人際關係中代表最近和周遭的人只維持著一種表面的關係,在健康中代表最近要小心頭部上的問題喔,這張牌代表最近要小心只看到心情的表面喔,這張牌代表最近要小心只看到心情的表面喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E5%A1%94-the-tower
16,高塔,1,https://i.imgur.com/BPwEUpH.jpg,在課業上代表最近可能想得很多，但卻沒有實際的行動喔,在人際關係中代表最近似乎有些敷衍他人,在健康中代表最近要小心頭部上的問題喔,這張牌代表最近要小心不要沉溺於幻想中,這張牌代表最近要小心不要沉溺於幻想中,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E5%A1%94-the-tower
17,星星,0,https://i.imgur.com/SYEAtZV.jpg,在課業上代表最近可能會有些壓力，但只要努力就能獲得好成績喔,在人際關係中代表您最近處於一個人見人愛的時期喔,在健康中代表最近要維持營養均衡喔,這張牌代表最近要自己學會放鬆喔,這張牌代表最近要自己學會放鬆喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E6%98%9F%E6%98%9F-the-star
17,星星,1,https://i.imgur.com/g87mRuS.jpg,在課業上代表最近的表現時好時壞，要好好認真才會有所收穫喔,在人際關係中代表您最近和人相處時要小心情緒的起伏喔,在健康中代表最近要小心頭部和下半身關節的問題,這張牌代表最近要小心不要胡思亂想,這張牌代表最近要小心不要胡思亂想,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E6%98%9F%E6%98%9F-the-star
18,月亮,0,https://i.imgur.com/1IDi1oj.jpg,在課業上代表最近好像沒有很認真，而且容易胡思亂想呢,在人際關係中代表最近的長輩緣似乎很不錯呢,在健康中要小心不要有過於劇烈的運動，造成體力無法負荷的狀況喔,這張牌代表只要內心和頭腦都能保持冷靜，就能好好地度過這個時期,這張牌代表只要內心和頭腦都能保持冷靜，就能好好地度過這個時期,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E6%9C%88%E4%BA%AE-the-moon
18,月亮,1,https://i.imgur.com/FeFExzW.jpg,在課業上代表離成功只差最後一步了,在人際關係中代表因為最近自己的情緒不是很好，可能會和周遭的人發生衝突,在健康中代表最近要小心腳部和腸胃的問題,這張牌代表最近的心情似乎有些過於沉重了,這張牌代表最近的心情似乎有些過於沉重了,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E6%9C%88%E4%BA%AE-the-moon
19,太陽,0,https://i.imgur.com/OwgJ0mH.jpg,在課業上代表您最近學習效果十分不錯喔,在人際關係中代表您最近處於一個人見人愛的時期喔,在健康中要小心變胖的風險喔,這張牌代表只要用愉快的心情面對，按部就班的做事，事情就能圓滿達成,這張牌代表只要用愉快的心情面對，按部就班的做事，事情就能圓滿達成,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E5%A4%AA%E9%99%BD-the-sun
19,太陽,1,https://i.imgur.com/mtxp4KL.jpg,在課業上代表只要不粗心大意就能有好表現喔,在人際關係中要小心不要過於強勢喔,在健康中要小心不要有過於劇烈的運動，造成體力無法負荷的狀況喔,這張牌代表面對問題時只要用愉快的心情微笑面對，就能度過難關,這張牌代表面對問題時只要用愉快的心情微笑面對，就能度過難關,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E5%A4%AA%E9%99%BD-the-sun
20,審判,0,https://i.imgur.com/bve9XfK.jpg,在課業上代表最近表現不錯，但比較心態似乎有些過重了,在人際關係中代表最近和周遭的人只維持著一種表面的關係,在健康中代表雖然還沒到會出問題的程度，但一切還是小心為上,這張牌代表最近自己頭腦和反映都無措，處理事情也能得心應手喔,這張牌代表最近自己頭腦和反映都無措，處理事情也能得心應手喔,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E5%AF%A9%E5%88%A4-judgement
20,審判,1,https://i.imgur.com/z7XI0P8.jpg,在課業上代表要小心偷懶的狀況出現喔,在人際關係中代表最近可能有些過於封閉自己喔,在健康中代表要注意保持整潔清潔的生活習慣,這張牌代表要更加小心謹慎去處理事情,這張牌代表要更加小心謹慎去處理事情,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E5%AF%A9%E5%88%A4-judgement
21,世界,0,https://i.imgur.com/5JlL13V.jpg,在課業上代表最近雖然運慶不錯，但也好好努力才會有好結果喔,在人際關係中代表您最近很真誠，是個能跟人建立良好關係的時期呢,在健康中代表最近蠻有精神和體力的,這張牌代表雖然要花很多心思和努力，但最後肯定會有好結果的,這張牌代表雖然要花很多心思和努力，但最後肯定會有好結果的,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E4%B8%96%E7%95%8C-the-world
21,世界,1,https://i.imgur.com/WwFYGJH.jpg,在課業上代表離成功只差最後一步了,在人際關係中代表最近似乎對人有些冷冰冰的呢,在健康中代表要多多注意外傷和骨骼的問題喔,這張牌代表可能會有某些避免免不了的狀況或問題需要改善，但其實並不是很嚴重，只要稍微調整一下就可以了,這張牌代表可能會有某些避免免不了的狀況或問題需要改善，但其實並不是很嚴重，只要稍微調整一下就可以了,https://www.tarnote.com/blog/%E5%A1%94%E7%BE%85%E7%89%8C%E7%BE%A9%E4%B8%96%E7%95%8C-the-world
